time,low,high,open,close,volume
1520182800,11117.02,11143.57,11138.27,11129.0,188.26370776999994
1520186400,11129.0,11347.92,11129.01,11326.01,692.7510462399968
1520190000,11326.0,11375.02,11326.0,11342.02,388.50565650999926
1520193600,11342.01,11432.0,11342.01,11431.99,650.6526314599971
1520197200,11381.0,11448.0,11431.99,11390.0,414.03887633999926
1520200800,11331.02,11390.0,11390.0,11374.82,315.00913239000056
1520204400,11374.01,11487.0,11374.82,11469.9,824.1271292699971
1520208000,11404.11,11475.0,11469.9,11448.88,439.0160477799998
1520211600,11404.78,11449.98,11448.87,11444.64,274.30264336000084
1520215200,11444.65,11498.5,11444.65,11497.01,560.2874230799989
1520218800,11452.5,11579.99,11497.01,11555.49,1190.8456709099898
1520222400,11505.0,11599.01,11555.49,11505.99,664.9193820399981
1520226000,11452.26,11526.13,11506.0,11506.0,599.6777366199965
1520229600,11486.25,11540.08,11506.0,11506.84,295.18415552000016
1520233200,11493.0,11549.03,11506.85,11507.01,214.43822092000033
1520236800,11414.89,11522.87,11507.01,11432.97,308.9960618099991
1520240400,11422.42,11460.0,11432.97,11459.0,105.1492175000001
1520244000,11411.23,11459.01,11459.01,11457.84,162.78426452000042
1520247600,11447.88,11499.85,11457.83,11480.04,104.80739710000014
1520251200,11480.04,11540.0,11480.04,11525.0,322.9597754799993
1520254800,11470.2,11536.06,11525.0,11486.88,218.38400601
1520258400,11445.0,11500.0,11486.88,11470.0,463.30353934999886
1520262000,11461.59,11498.0,11469.99,11479.12,203.57269474999987
1520265600,11479.11,11543.52,11479.12,11520.0,296.5458369299996
1520269200,11479.99,11520.01,11520.01,11481.97,295.4073564300002
1520272800,11481.96,11645.74,11481.96,11635.75,1102.2519907299898
1520276400,11611.0,11643.5,11635.76,11611.0,585.8327999899983
1520280000,11560.0,11640.0,11611.01,11579.0,853.1303075599936
1520283600,11515.91,11579.64,11579.0,11555.98,596.3432307199954
1520287200,11540.0,11590.0,11555.98,11551.47,288.0264814399994
1520290800,11339.0,11570.0,11551.47,11377.54,905.2623366699908
1520294400,11275.0,11395.63,11371.5,11300.0,1606.4770273099634
1520298000,11207.0,11300.01,11300.0,11298.2,1147.6351408899886
1520301600,11215.25,11298.21,11298.21,11269.46,446.09731363999805
1520305200,11170.0,11282.69,11269.46,11250.0,752.595647369993
1520308800,11249.99,11331.48,11249.99,11267.9,652.2078453999949
1520312400,11246.0,11310.0,11267.9,11298.05,297.7990459499991
1520316000,11275.0,11320.0,11298.06,11285.0,190.64661758000003
1520319600,11225.01,11285.0,11284.99,11263.21,328.7253614399991
1520323200,11255.89,11279.69,11263.21,11257.26,119.75393301000007
1520326800,11249.0,11285.0,11257.25,11249.99,243.36548845000013
1520330400,10875.0,11250.0,11249.99,10940.01,1464.06120424998
1520334000,10855.0,10965.51,10941.11,10942.01,573.7844741099977
1520337600,10875.82,10959.0,10942.02,10920.28,452.6691747499989
1520341200,10811.0,10920.28,10920.28,10831.09,807.4754606799976
1520344800,10831.08,11000.0,10831.09,10998.55,670.2183407299957
1520348400,10967.0,11010.0,10998.54,10975.01,565.1133067699974
1520352000,10915.01,10975.01,10975.0,10926.69,554.3748645399979
1520355600,10731.03,10927.01,10926.68,10763.02,1466.7008907799843
1520359200,10705.0,10844.99,10763.02,10713.69,1031.2246396799906
1520362800,10565.85,10725.69,10713.7,10705.0,1781.791053009973
1520366400,10580.5,10711.0,10704.99,10649.06,1024.0045448299884
1520370000,10649.07,10798.0,10649.07,10789.9,866.2978283499955
1520373600,10725.33,10799.0,10789.91,10773.02,511.63438471999876
1520377200,10589.4,10778.1,10773.02,10700.0,749.2664673299868
